Name,Points,PerKr,URL,ImgURL
Ebbe,25,100,https://onlineshopping.flysas.com/se/ebbekids/18871/,https://onlineshopping.flysas.com/Images/Shops/ebbekids/se.jpg
Ecco,10,100,https://onlineshopping.flysas.com/se/ecco-sko/19588/,https://onlineshopping.flysas.com/Images/Shops/ecco-sko/se.jpg
Ecooking,50,100,https://onlineshopping.flysas.com/se/ecooking/19438/,https://onlineshopping.flysas.com/Images/Shops/ecooking/se.jpg
Efva Attling,50,100,https://onlineshopping.flysas.com/se/efva-attling/7426/,https://onlineshopping.flysas.com/Images/Shops/efva-attling/se.jpg
Elbilsvaruhuset,25,100,https://onlineshopping.flysas.com/se/elbilsvaruhuset/19597/,https://onlineshopping.flysas.com/Images/Shops/elbilsvaruhuset/se.jpg
Elcykelvaruhuset,10,100,https://onlineshopping.flysas.com/se/el-cykelvarehuset/19368/,https://onlineshopping.flysas.com/Images/Shops/el-cykelvarehuset/se.jpg
Electrolux,25,100,https://onlineshopping.flysas.com/se/electrolux/19429/,https://onlineshopping.flysas.com/Images/Shops/electrolux/se.jpg
Electrolux Spares & accessorie..,25,100,https://onlineshopping.flysas.com/se/electrolux-spares-accessories/19496/,https://onlineshopping.flysas.com/Images/Shops/electrolux-spares-accessories/se.jpg
Ellos,25,100,https://onlineshopping.flysas.com/se/ellos-3/18058/,https://onlineshopping.flysas.com/Images/Shops/ellos-3/se.jpg
ELON,10,100,https://onlineshopping.flysas.com/se/elon-/18845/,https://onlineshopping.flysas.com/Images/Shops/elon-/se.jpg
Elskling,500,,https://onlineshopping.flysas.com/se/elskling.se/19250/,https://onlineshopping.flysas.com/Images/Shops/elskling.se/se.jpg
Emma Madrass,20,100,https://onlineshopping.flysas.com/se/emma-madrass/19185/,https://onlineshopping.flysas.com/Images/Shops/emma-madrass/se.jpg
EMP-Shop,25,100,https://onlineshopping.flysas.com/se/emp-shop/19480/,https://onlineshopping.flysas.com/Images/Shops/emp-shop/se.jpg
